punto_id,region,x1_inicial,x2_inicial,alpha0,beta,c,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final
P001,1,-99.30478694688092,2.149460515513141,0.8,0.5,0.001,2.879385717289831,4.15115601197863e-06,-15.234422383408637,91,True,2.8793857172928234
P001,1,-99.30478694688092,2.149460515513141,0.8,0.7,0.0001,2.8793848737473304,3.477084602836218e-07,-15.234422383427138,100,True,2.8793848737473513
P001,1,-99.30478694688092,2.149460515513141,0.8,0.7,0.001,2.8793848750716995,4.612565652038562e-07,-15.234422383427063,98,True,2.8793848750717363
P001,1,-99.30478694688092,2.149460515513141,0.5,0.5,0.0001,2.8793847505231587,0.0,-15.23442238342565,110,True,2.8793847505231587
P001,1,-99.30478694688092,2.149460515513141,0.5,0.5,0.001,2.8793847505231587,0.0,-15.23442238342565,110,True,2.8793847505231587
P001,1,-99.30478694688092,2.149460515513141,0.5,0.7,0.0001,2.879385661919186,2.9410209372344082e-06,-15.234422383417973,96,True,2.879385661920688
P001,1,-99.30478694688092,2.149460515513141,0.5,0.7,0.001,2.879385661919186,2.9410209372344082e-06,-15.234422383417973,96,True,2.879385661920688
P002,1,-97.94155057041976,93.98197043239888,1.0,0.5,0.0001,2.879385753977432,0.0,-15.234422383425335,119,True,2.879385753977432
P002,1,-97.94155057041976,93.98197043239888,1.0,0.5,0.001,2.879385753977432,0.0,-15.234422383425335,119,True,2.879385753977432
P002,1,-97.94155057041976,93.98197043239888,1.0,0.7,0.0001,2.879384802593952,3.1304067741265733e-06,-15.234422383416598,127,True,2.879384802595654
P002,1,-97.94155057041976,93.98197043239888,1.0,0.7,0.001,2.879385662286962,2.7694833320887403e-06,-15.234422383418957,128,True,2.8793856622882936
P002,1,-97.94155057041976,93.98197043239888,0.8,0.5,0.0001,2.8793856475785473,3.816285386040481e-06,-15.234422383412243,97,True,2.8793856475810764
P002,1,-97.94155057041976,93.98197043239888,0.8,0.5,0.001,2.8793856475785473,3.816285386040481e-06,-15.234422383412243,97,True,2.8793856475810764
P002,1,-97.94155057041976,93.98197043239888,0.8,0.7,0.0001,2.8793858216900827,-2.5944862670120114e-07,-15.234422383424148,133,True,2.8793858216900947
P002,1,-97.94155057041976,93.98197043239888,0.8,0.7,0.001,2.8793846635611695,-3.964079269236214e-07,-15.234422383424086,130,True,2.8793846635611966
P002,1,-97.94155057041976,93.98197043239888,0.5,0.5,0.0001,2.879385753977432,0.0,-15.234422383425335,119,True,2.879385753977432
P002,1,-97.94155057041976,93.98197043239888,0.5,0.5,0.001,2.879385753977432,0.0,-15.234422383425335,119,True,2.879385753977432
P002,1,-97.94155057041976,93.98197043239888,0.5,0.7,0.0001,2.879384775338127,3.1506211893335083e-06,-15.234422383416085,120,True,2.879384775339851
P002,1,-97.94155057041976,93.98197043239888,0.5,0.7,0.001,2.8793847756493833,3.1506211893335083e-06,-15.234422383416101,120,True,2.879384775651107
P003,1,-97.45808732559048,-78.42171460133912,1.0,0.5,0.0001,2.879384749533636,0.0,-15.234422383425649,104,True,2.879384749533636
P003,1,-97.45808732559048,-78.42171460133912,1.0,0.5,0.001,2.879384749533636,0.0,-15.234422383425649,104,True,2.879384749533636
P003,1,-97.45808732559048,-78.42171460133912,1.0,0.7,0.0001,2.8793847953131,-3.385312808824106e-06,-15.234422383414833,101,True,2.87938479531509
P003,1,-97.45808732559048,-78.42171460133912,1.0,0.7,0.001,2.8793847953131,-3.385312808824106e-06,-15.234422383414833,101,True,2.87938479531509
P003,1,-97.45808732559048,-78.42171460133912,0.8,0.5,0.0001,2.879384916839291,-3.4139280609039156e-06,-15.234422383416064,100,True,2.879384916841315
P003,1,-97.45808732559048,-78.42171460133912,0.8,0.5,0.001,2.879384916839291,-3.4139280609039156e-06,-15.234422383416064,100,True,2.879384916841315
P003,1,-97.45808732559048,-78.42171460133912,0.8,0.7,0.0001,2.8793848949773544,-3.820449537400215e-07,-15.234422383427347,132,True,2.8793848949773797
P003,1,-97.45808732559048,-78.42171460133912,0.8,0.7,0.001,2.8793848961880455,-5.068060264390669e-07,-15.23442238342726,130,True,2.8793848961880903
P003,1,-97.45808732559048,-78.42171460133912,0.5,0.5,0.0001,2.879384749533636,0.0,-15.234422383425649,104,True,2.879384749533636
P003,1,-97.45808732559048,-78.42171460133912,0.5,0.5,0.001,2.879384749533636,0.0,-15.234422383425649,104,True,2.879384749533636
P003,1,-97.45808732559048,-78.42171460133912,0.5,0.7,0.0001,2.879384737555836,-3.200489781581923e-06,-15.234422383415207,126,True,2.8793847375576145
P003,1,-97.45808732559048,-78.42171460133912,0.5,0.7,0.001,2.8793847375792967,-3.200489781581923e-06,-15.234422383415213,126,True,2.8793847375810753
P004,1,-96.85708143132658,27.282082252756084,1.0,0.5,0.0001,2.8793857456431784,0.0,-15.234422383425446,99,True,2.8793857456431784
P004,1,-96.85708143132658,27.282082252756084,1.0,0.5,0.001,2.8793857456431784,0.0,-15.234422383425446,99,True,2.8793857456431784
P004,1,-96.85708143132658,27.282082252756084,1.0,0.7,0.0001,2.879385731611889,3.089773407083901e-06,-15.234422383416126,100,True,2.8793857316135467
P004,1,-96.85708143132658,27.282082252756084,1.0,0.7,0.001,2.879385731611889,3.089773407083901e-06,-15.234422383416126,100,True,2.8793857316135467
P004,1,-96.85708143132658,27.282082252756084,0.8,0.5,0.0001,2.8793856527689834,-3.3997606917863878e-06,-15.234422383415193,101,True,2.8793856527709907
P004,1,-96.85708143132658,27.282082252756084,0.8,0.5,0.001,2.8793856527689834,-3.3997606917863878e-06,-15.234422383415193,101,True,2.8793856527709907
P004,1,-96.85708143132658,27.282082252756084,0.8,0.7,0.0001,2.8793857857246956,-2.4047675385936804e-07,-15.23442238342476,126,True,2.879385785724706
P004,1,-96.85708143132658,27.282082252756084,0.8,0.7,0.001,2.879385784630165,-3.1900714007955916e-07,-15.234422383424747,124,True,2.8793857846301822
P004,1,-96.85708143132658,27.282082252756084,0.5,0.5,0.0001,2.8793857456431784,0.0,-15.234422383425446,99,True,2.8793857456431784
P004,1,-96.85708143132658,27.282082252756084,0.5,0.5,0.001,2.8793857456431784,0.0,-15.234422383425446,99,True,2.8793857456431784
P004,1,-96.85708143132658,27.282082252756084,0.5,0.7,0.0001,2.8793856774274422,2.5317377877588943e-06,-15.234422383420014,115,True,2.879385677428555
P004,1,-96.85708143132658,27.282082252756084,0.5,0.7,0.001,2.8793856774274422,2.5317377877588943e-06,-15.234422383420014,115,True,2.879385677428555
P005,1,-96.56114788847816,81.8640804157564,1.0,0.5,0.0001,2.8793857470482855,0.0,-15.23442238342544,98,True,2.8793857470482855
P005,1,-96.56114788847816,81.8640804157564,1.0,0.5,0.001,2.8793857470482855,0.0,-15.23442238342544,98,True,2.8793857470482855
P005,1,-96.56114788847816,81.8640804157564,1.0,0.7,0.0001,2.8793848026245885,-3.113698628413425e-06,-15.234422383416698,118,True,2.879384802626272
P005,1,-96.56114788847816,81.8640804157564,1.0,0.7,0.001,2.8793856620715372,-2.7547015690778992e-06,-15.234422383419048,119,True,2.879385662072855
P005,1,-96.56114788847816,81.8640804157564,0.8,0.5,0.0001,2.879385594123659,3.091549090021687e-06,-15.234422383417868,92,True,2.8793855941253184
P005,1,-96.56114788847816,81.8640804157564,0.8,0.5,0.001,2.879385594123659,3.091549090021687e-06,-15.234422383417868,92,True,2.8793855941253184
P005,1,-96.56114788847816,81.8640804157564,0.8,0.7,0.0001,2.879384906496188,-3.5727196571340366e-07,-15.234422383427487,128,True,2.87938490649621
P005,1,-96.56114788847816,81.8640804157564,0.8,0.7,0.001,2.879384908217806,-4.7394314079724634e-07,-15.2344223834274,126,True,2.879384908217845
P005,1,-96.56114788847816,81.8640804157564,0.5,0.5,0.0001,2.8793857470482855,0.0,-15.23442238342544,98,True,2.8793857470482855
P005,1,-96.56114788847816,81.8640804157564,0.5,0.5,0.001,2.8793857470482855,0.0,-15.23442238342544,98,True,2.8793857470482855
P005,1,-96.56114788847816,81.8640804157564,0.5,0.7,0.0001,-0.5320884009061655,0.0,-1.4456224072858097,209,True,0.5320884009061655
P005,1,-96.56114788847816,81.8640804157564,0.5,0.7,0.001,-0.5320884009061655,0.0,-1.4456224072858097,209,True,0.5320884009061655
P006,1,-95.9224858445236,18.17858863764836,1.0,0.5,0.0001,2.8793857489457078,0.0,-15.234422383425398,101,True,2.8793857489457078
