region,learning_rate,razon_fallo,iteraciones_mean,iteraciones_count,f_final_mean,f_final_std,x1_inicial_mean,x1_inicial_std,x2_inicial_mean,x2_inicial_std
1,0.001,divergencia_overflow,2400.0,78,,,-63.597681539824265,23.671956241884175,-5.194609546117739,57.83148989835919
1,0.001,lento_max_iter,2400.0,22,-5.012202391092791,6.270771045227926,-10.406428767596646,5.740387288820976,6.570457329484847,54.63106143289496
1,0.005,divergencia_overflow,2400.0,91,,,-56.54115411501164,27.995136820294686,-4.223134318894113,56.51348106749449
1,0.01,divergencia_overflow,2400.0,94,,,-54.95886062266247,28.90008209937017,-3.401160506394531,57.05343452204066
1,0.05,divergencia_overflow,2400.0,99,,,-52.405309478833125,30.274051144900035,-2.1115205823314867,57.15645922040753
1,0.1,divergencia_overflow,2400.0,99,,,-52.405309478833125,30.274051144900035,-2.1115205823314867,57.15645922040753
1,0.1,lento_max_iter,2400.0,1,-12.557719403519188,,-1.4349545889399309,,-51.58894569769992,
1,0.2,divergencia_overflow,2400.0,100,,,-51.89560592993419,30.54898008411402,-2.6062948334851708,57.081891982711554
1,0.3,divergencia_overflow,2400.0,100,,,-51.89560592993419,30.54898008411402,-2.6062948334851708,57.081891982711554
1,0.5,divergencia_overflow,2400.0,100,,,-51.89560592993419,30.54898008411402,-2.6062948334851708,57.081891982711554
2,0.001,lento_max_iter,2400.0,100,-11.012790168363342,6.293367156058274,1.0311856698754907,0.5948327922859366,-1.3685126770933216,57.91574471167545
2,0.1,lento_max_iter,2400.0,71,-9.67051189421119,4.629785574938358,1.341991478098164,0.38392331647559114,2.597483573046266,57.85157572730119
2,0.2,divergencia_overflow,2400.0,100,,,1.0311856698754907,0.5948327922859366,-1.3685126770933216,57.91574471167545
2,0.3,divergencia_overflow,2400.0,100,,,1.0311856698754907,0.5948327922859366,-1.3685126770933216,57.91574471167545
2,0.5,divergencia_overflow,2400.0,100,,,1.0311856698754907,0.5948327922859366,-1.3685126770933216,57.91574471167545
3,0.001,divergencia_overflow,2400.0,74,,,63.82482885824885,22.739886803400463,12.18933398794697,58.88113327825134
3,0.001,lento_max_iter,2400.0,26,-13.890269928351744,3.7635805176193404,11.261163240164622,4.673992920078097,3.7185034388208456,66.18562751948167
3,0.005,divergencia_overflow,2400.0,86,,,57.07480760885836,27.00526876150758,9.620358188338853,60.19833774597518
3,0.01,divergencia_overflow,2400.0,92,,,53.997018038724114,28.60939208509055,10.485602394023717,59.92019296598844
3,0.05,divergencia_overflow,2400.0,98,,,51.11758963314169,29.93880176250192,9.2957541916027,60.63401714332063
3,0.1,divergencia_overflow,2400.0,98,,,51.11758963314169,29.93880176250192,9.2957541916027,60.63401714332063
3,0.1,lento_max_iter,2400.0,2,-9.961668695898048,3.7306603593665817,3.151897853404535,0.05549468233301192,43.853946870176536,70.88295545298729
3,0.2,divergencia_overflow,2400.0,100,,,50.15827579754695,30.393642925247377,9.986918045174178,60.6350326596263
3,0.3,divergencia_overflow,2400.0,100,,,50.15827579754695,30.393642925247377,9.986918045174178,60.6350326596263
3,0.5,divergencia_overflow,2400.0,100,,,50.15827579754695,30.393642925247377,9.986918045174178,60.6350326596263
