punto_id,region,x1_inicial,x2_inicial,learning_rate,x1_final,x2_final,f_final,iteraciones,convergio,distancia_final,max_iter_alcanzado
P000,1,-14.917168243145964,9.463842853645026,0.001,2.8793852415718098,0.07751158362043895,-15.228414337833975,2400,False,2.8804283388025635,True
P000,1,-14.917168243145964,9.463842853645026,0.005,,3.16617236797524e-10,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.01,,8.29180694913496e-21,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.05,,1.4390973538827006e-109,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.1,,2.466245472103042e-232,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.2,,5e-324,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.3,,0.0,,2400,False,,True
P000,1,-14.917168243145964,9.463842853645026,0.5,,0.0,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.001,2.8793852415718098,0.002640704591098405,-15.234415410108586,2400,False,2.8793864524759933,True
P001,1,-14.89571804203214,0.3224190773269715,0.005,,1.0786679252049778e-11,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.01,,2.824895539008025e-22,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.05,,4.90279105642416e-111,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.1,,8.4021322191653e-234,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.2,,5e-324,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.3,,0.0,,2400,False,,True
P001,1,-14.89571804203214,0.3224190773269715,0.5,,0.0,,2400,False,,True
P002,1,-14.691232585562965,14.09729556485983,0.001,-0.5320888862379527,0.11546088844626352,-1.4322911905269136,2400,False,0.5444720374993977,True
P002,1,-14.691232585562965,14.09729556485983,0.005,,4.716315388040045e-10,,2400,False,,True
P002,1,-14.691232585562965,14.09729556485983,0.01,,1.2351436423491857e-20,,2400,False,,True
