x0,lr,x_final,f_final,num_iter
"[4.74344279902939, -1.5487212680420794]",0.005,[ 2.87938524 -0.20749717],-15.19136730706709,201
"[2.33097117161522, 0]",0.005,[2.87937947 0.        ],-15.234422382923235,75
"[4.634112780230091, 0.8369625016026938]",0.005,[2.87938524 0.11213596],-15.221847909044548,201
"[4.90901342018667, 0]",0.005,[2.87939118 0.        ],-15.234422382893296,72
"[4.683715538243085, 1.3108658221378473]",0.005,[2.87938524 0.17562938],-15.203576705493012,201
"[4.566476505893959, 0]",0.005,[2.87939101 0.        ],-15.234422382924276,72
"[-1.125058286856437, 2.632760574594279]",0.005,[-0.5320889   0.35273641],-1.3211994353371097,201
"[-0.9131567058198078, 0]",0.005,[-0.53210106  0.        ],-1.4456224060887022,120
"[-0.6781196211625797, -0.24233574803284963]",0.005,[-0.53208889 -0.03246806],-1.4445682320605382,201
"[-4.180039606650821, 0]",0.005,[-0.53210049  0.        ],-1.445622406199056,128
"[-0.3537647972677185, -1.0245244118165973]",0.005,[-0.53208888 -0.13726545],-1.426780604188586,201
"[-2.925732523187683, 0]",0.005,[-0.53210112  0.        ],-1.4456224060784084,128
"[-3.2793542874905066, -0.7597608301925614]",0.005,[-0.53208891 -0.10179251],-1.4352606923993947,201
"[-4.777666771876778, 0]",0.005,[-0.53210027  0.        ],-1.4456224062405167,126
"[-1.772436491682512, 1.6298369878010934]",0.005,[-0.53208891  0.21836503],-1.3979391210931078,201
"[-3.4342245487240466, 0]",0.005,[-0.53210113  0.        ],-1.4456224060761564,128
"[1.5759443278630192, 1.7243490794037832]",0.005,[2.87938524 0.23102773],-15.181048571862368,201
"[0.8114274404912043, 0]",0.005,[2.8793795 0.       ],-15.234422382928622,120
"[1.679426561255817, -1.4658683381335451]",0.005,[ 2.87938524 -0.19639656],-15.195850773342377,201
"[1.8069261769104918, 0]",0.005,[2.8793795 0.       ],-15.234422382928788,84
"[1.7451732837502159, -2.5099872341412746]",0.005,[ 2.87938524 -0.33628727],-15.121333253092503,201
"[1.2186640792320769, 0]",0.005,[2.87937942 0.        ],-15.234422382914584,97
"[0.13054189618961537, 1.6718331040358247]",0.005,[-0.53208878  0.22399166],-1.3954501454664086,201
"[0.6905018830510016, 0]",0.005,[2.87937937 0.        ],-15.234422382906404,147
"[1.7523233573301127, -2.0814779311008764]",0.005,[ 2.87938524 -0.27887574],-15.156650707058317,201
"[1.1488192710407874, 0]",0.005,[2.8793791 0.       ],-15.234422382855628,99
"[4.154632704856088, 1.1692975903366953]",0.01,[2.87938524 0.02056554],-15.233999441846372,201
"[2.5282100953178617, 0]",0.01,[2.87938287 0.        ],-15.234422383343619,36
"[4.402827373550005, 2.7153904860686477]",0.01,[2.87938524 0.04775814],-15.23214154321772,201
"[2.608278578423722, 0]",0.01,[2.87938286 0.        ],-15.234422383343142,35
"[4.74344279902939, -1.5487212680420794]",0.01,[ 2.87938524 -0.02723883],-15.233680429734648,201
"[2.33097117161522, 0]",0.01,[2.87938289 0.        ],-15.234422383345006,38
"[4.634112780230091, 0.8369625016026938]",0.01,[2.87938524 0.01472045],-15.234205691728443,201
"[4.90901342018667, 0]",0.01,[2.87938769 0.        ],-15.234422383338316,33
"[4.683715538243085, 1.3108658221378473]",0.01,[2.87938524 0.02305544],-15.233890830203936,201
"[4.566476505893959, 0]",0.01,[2.87938847 0.        ],-15.234422383270708,34
"[-1.125058286856437, 2.632760574594279]",0.01,[-0.53208889  0.04630485],-1.4434782679308527,201
"[-0.9131567058198078, 0]",0.01,[-0.53209408  0.        ],-1.4456224070695987,63
